YEAR,CODE,COUNTY,BEDS,VACANCIES,MEDINCOME,RENT,MORTGAGE,PEOPLE,S.PEOPLE,U.PEOPLE,PEOPLE.FAMILIES,S.PEOPLE.FAMILIES,U.PEOPLE FAMILIES,FAMILIES,S.FAMILIES,U.FAMILIES
2010,507,Clackamas,148,1330,57298,,,986,16,970,436,120,316,137,44,93
2011,507,Clackamas,136,1221,58055,,,567,16,551,441,123,318,152,42,110
2012,507,Clackamas,136,848,64410,,,570,19,551,423,105,318,147,37,110
2013,507,Clackamas,266,744,66758,,,338,22,316,281,119,162,53,40,13
2014,507,Clackamas,132,713,65316,,,333,17,316,285,123,162,53,40,13
2015,507,Clackamas,130,445,69629,,,357,76,281,137,110,27,44,37,7
2016,507,Clackamas,130,998,74891,,,298,17,281,165,138,27,54,47,7
2017,507,Clackamas,85,761,79878,,,385,84,301,112,67,45,39,20,19
2018,507,Clackamas,45,1115,81278,,,317,16,301,66,21,45,27,8,19
2019,507,Clackamas,108,991,80294,,,385,178,207,86,70,16,29,25,4
2020,507,Clackamas,134,,,,,235,28,207,117,101,16,36,32,4
2021,507,Clackamas,182,650,91329,,,280,100,180,212,91,121,67,29,38
2022,507,Clackamas,235,1258,97419,,,378,198,180,193,72,121,60,22,38
2023,507,Clackamas,228,1391,100675,,,280,106,174,130,126,4,36,35,1
2010,501,Multnomah,2422,5415,48043,,,2943,1430,1513,1292,1214,78,443,408,35
2011,501,Multnomah,2629,3949,46888,,,2815,1213,1602,1682,1570,112,537,482,55
2012,501,Multnomah,2588,6199,51799,,,2918,1316,1602,1505,1393,112,620,565,55
2013,501,Multnomah,2964,3919,54024,,,3183,1411,1772,1258,1135,123,398,361,37
2014,501,Multnomah,1907,2849,53660,,,3115,1343,1772,812,689,123,266,229,37
2015,501,Multnomah,1672,5712,59231,,,3132,1403,1729,669,511,158,218,171,47
2016,501,Multnomah,1820,4031,62629,,,3209,1480,1729,705,547,158,226,179,47
2017,501,Multnomah,2562,5638,63974,,,3520,1929,1591,657,580,77,216,188,28
2018,501,Multnomah,2329,10604,71186,,,3394,1803,1591,625,548,77,193,165,28
2019,501,Multnomah,2223,7024,72900,,,3698,1673,2025,317,305,12,100,94,6
2020,501,Multnomah,2424,,,,,3784,1759,2025,389,377,12,123,117,6
2021,501,Multnomah,2104,7233,78319,,,1560,1560,0,220,220,0,69,69,0
2022,501,Multnomah,2953,8667,79909,,,4560,1956,2604,668,215,453,221,75,146
2023,501,Multnomah,2648,9484,83583,,,4998,2018,2980,1299,335,964,414,100,314
2010,506,Washington,276,4132,60489,,,514,65,449,436,183,253,135,60,75
2011,506,Washington,274,4439,62488,,,435,53,382,317,168,149,102,55,47
2012,506,Washington,329,4535,63530,,,399,89,310,352,220,132,112,73,39
2013,506,Washington,362,2421,63238,,,303,115,188,129,85,44,47,30,17
2014,506,Washington,243,2025,66136,,,281,102,179,256,96,160,75,29,46
2015,506,Washington,235,2264,70447,,,399,97,302,192,99,93,58,30,28
2016,506,Washington,244,2194,75634,,,383,78,305,188,115,73,53,34,19
2017,506,Washington,248,2320,80946,,,348,86,262,196,89,107,56,30,26
2018,506,Washington,227,2461,83068,,,407,91,316,115,72,43,39,26,13
2019,506,Washington,240,3751,85734,,,396,194,202,134,104,30,39,30,9
2020,506,Washington,261,,,,,477,207,270,141,104,37,41,32,9
2021,506,Washington,243,2710,92147,,,595,257,338,121,102,19,36,31,5
2022,506,Washington,484,2408,98906,,,516,289,227,292,292,0,78,78,0
2023,506,Washington,558,4453,103713,,,546,321,225,227,222,5,61,59,2