County,location,year,building_starts,cost_ratio,overall_homeless,homeless_percapita,govt_spend,rc_project,total_units,rc_units,rc_status
Multnomah,Portland,2019,,,,,,37 NE 127th Ave,11,,
Multnomah,Portland,2019,,,,,,2835 SE 47th Ave,69,,
Multnomah,Portland,2019,,,,,,920 NW Kearney St,199,,
Multnomah,Portland,2019,,,,,,1530 SW 13th Ave,93,,
Multnomah,Portland,2019,,,,,,12713 SE Powell Blvd,22,,
Multnomah,Portland,2019,,,,,,8734 N Columbia Blvd,164,,
Multnomah,Portland,2019,,,,,,12025 SE Pine St,24,,
Multnomah,Portland,2019,,,,,,140 SE 188th Ave,66,,
Multnomah,Portland,2019,,,,,,220 SE 106th Ave,10,,
Multnomah,Portland,2019,,,,,,10801 NE Fremont St,6,,
Multnomah,Portland,2019,,,,,,5802 N Michigan Ave,68,,
Multnomah,Portland,2019,,,,,,2105 SE Powell Blvd,19,,
Multnomah,Portland,2019,,,,,,12540 SE Powell Ct,68,,
Multnomah,Portland,2019,,,,,,13320 SE Powell Blvd,67,,
Multnomah,Portland,2019,,,,,,11200 SE Holgate Blvd,34,,
Multnomah,Portland,2019,,,,,,5802 NE Prescott St,20,,
Multnomah,Portland,2019,,,,,,5725 NE Prescott St,50,,
Multnomah,Portland,2019,,,,,,5921 E Burnside,39,,
Multnomah,Portland,2019,,,,,,6244 N Columbia Way,32,,
Multnomah,Portland,2019,,,,,,1550 NW 14th Ave,139,,
Multnomah,Portland,2019,,,,,,8940 SE Reedway St,24,,
Multnomah,Portland,2019,,,,,,1230 SE Morrison St,62,,
Multnomah,Portland,2019,,,,,,8 NW 8th Ave,180,,
Multnomah,Portland,2019,,,,,,4147 SE Division St,20,,
Multnomah,Portland,2019,,,,,,8870 N Columbia Blvd,97,,
Multnomah,Portland,2019,,,,,,1225 SE Belmont St,85,,
Multnomah,Portland,2019,,,,,,124 NE 181st Ave,47,,
Multnomah,Portland,2019,,,,,,19045 SE Yamhill,37,,
Multnomah,Portland,2019,,,,,,scattered sites,4,,
Multnomah,Portland,2019,,,,,,1430 SW 12th Ave,233,,
Multnomah,Portland,2019,,,,,,18173 NE Couch St,45,,
Multnomah,Portland,2019,,,,,,424 NW 21st Ave,31,,
Multnomah,Portland,2019,,,,,,597 North Dekum St,100,,
Multnomah,Portland,2019,,,,,,621 N Saratoga St,18,,
Multnomah,Portland,2019,,,,,,1218 SW Washington St,76,,
Multnomah,Portland,2019,,,,,,310 NW Flanders St,30,,
Multnomah,Portland,2019,,,,,,6005 SW Beaverton-Hillsdale Hwy,73,,
Multnomah,Portland,2019,,,,,,3911 SE Milwaukie Ave,68,,
Multnomah,Portland,2019,,,,,,4610 N Maryland Ave,13,,
Multnomah,Portland,2019,,,,,,532 NW Everett St,95,,
Multnomah,Portland,2019,,,,,,11401 NE Sandy Blvd,14,,
Multnomah,Portland,2019,,,,,,9326 SE Schiller St,24,,
Multnomah,Portland,2019,,,,,,8832 N Syracuse St,118,,
Multnomah,Portland,2019,,,,,,13223 SE Powell Blvd,42,,
Multnomah,Portland,2019,,,,,,7927 SW 31st Ave,20,,
Multnomah,Portland,2019,,,,,,1724 SE Tenino St,110,,
Multnomah,Portland,2019,,,,,,247 SE 160th Ave,62,,
Multnomah,Portland,2019,,,,,,375 NE Shaver St,85,,
Multnomah,Portland,2019,,,,,,123 W Burnside St,62,,
Multnomah,Portland,2019,,,,,,1865 NE Davis St,76,,
Multnomah,Portland,2019,,,,,,1115 NW Northrup St,209,,
Multnomah,Portland,2019,,,,,,4702 SW Slavin Rd,24,,
Multnomah,Portland,2019,,,,,,117 SE 151st Ave,27,,
Multnomah,Portland,2019,,,,,,650 SE 162nd Ave,72,,
Multnomah,Portland,2019,,,,,,6430 SE 128th Ave,36,,
Multnomah,Portland,2019,,,,,,3560 SE 79th Ave,126,,
Multnomah,Portland,2019,,,,,,1024 SW Main St,132,,
Multnomah,Portland,2019,,,,,,1177 SE Stark,106,,
Multnomah,Portland,2019,,,,,,4941 NE 10th Ave,3,,
Multnomah,Portland,2019,,,,,,1320 SW 10th Ave,109,,
Multnomah,Portland,2019,,,,,,8803 N Lombard St,38,,
Multnomah,Portland,2019,,,,,,8652 N Swift Way,124,,
Multnomah,Portland,2019,,,,,,737 SW 17th Ave,114,,
Multnomah,Portland,2019,,,,,,450 SE 127th Ave,60,,
Multnomah,Portland,2019,,,,,,1020 NW 9th Ave,176,,
Multnomah,Portland,2019,,,,,,304 SE 162nd Ave,43,,
Multnomah,Portland,2019,,,,,,6719 SW 26th Ave,124,,
Multnomah,Portland,2019,,,,,,7810 SE Foster Rd,50,,
Multnomah,Portland,2019,,,,,,5724 NE Prescott St,10,,
Multnomah,Portland,2019,,,,,,8066 SE Taggart St,24,,
Multnomah,Portland,2019,,,,,,4111 N Alaska St,118,,
Multnomah,Portland,2019,,,,,,1330 SE Taylor St,10,,
Multnomah,Portland,2019,,,,,,8028 SE 7th Ave,6,,
Multnomah,Portland,2019,,,,,,2405 SE Umatilla St,94,,
Multnomah,Portland,2019,,,,,,5135 SE 73rd Ave,16,,
Multnomah,Portland,2019,,,,,,7622 N Gloucester St,34,,
Multnomah,Portland,2019,,,,,,3001 SE 136th Ave,32,,
Multnomah,Portland,2019,,,,,,4720 N Trenton St,66,,
Multnomah,Portland,2019,,,,,,8453 SW 30th Ave,20,,
Multnomah,Portland,2019,,,,,,6552 SW 19th Ave,24,,
Multnomah,Portland,2019,,,,,,2500 N Williams Ave,80,,
Multnomah,Portland,2019,,,,,,2650 NW Upshur St,30,,
Multnomah,Portland,2019,,,,,,712 SW St Clair Ave,71,,
Multnomah,Portland,2019,,,,,,1825 SW Vermont St,14,,
Multnomah,Portland,2019,,,,,,2255 W Burnside St,62,,
Multnomah,Portland,2019,,,,,,6706 NE Killingsworth St,133,,
Multnomah,Portland,2019,,,,,,6939 NE Killingsworth St,26,,
Multnomah,Portland,2019,,,,,,6444 NE Killingsworth St,28,,
Multnomah,Portland,2019,,,,,,5020 NE Killingsworth St,71,,
Multnomah,Portland,2019,,,,,,245 SW Lincoln St,198,,
Multnomah,Portland,2019,,,,,,3131 SW Marigold St,56,,
Multnomah,Portland,2019,,,,,,15230 NE Sandy Blvd,59,,
Multnomah,Portland,2019,,,,,,5272 NE 6th Ave,38,,
Multnomah,Portland,2019,,,,,,6388 SW Capitol Hwy,51,,
Multnomah,Portland,2019,,,,,,1529 NE 21st Ave,51,,
Multnomah,Portland,2019,,,,,,6939 NE Killingsworth St,27,,
Multnomah,Portland,2019,,,,,,6404 SE 23rd Ave,301,,
Multnomah,Portland,2019,,,,,,222 SW Pine St,113,,
Multnomah,Portland,2019,,,,,,2041 NW Everett St,101,,
Multnomah,Portland,2019,,,,,,420 SE Grand Ave,42,,
Multnomah,Portland,2019,,,,,,7850 N Interstate Ave,10,,
Multnomah,Portland,2019,,,,,,8002 SE Duke St,4,,
Multnomah,Portland,2019,,,,,,6428 SE 97th Ave,9,,
Multnomah,Portland,2019,,,,,,5808 SE 91st,64,,
Multnomah,Portland,2019,,,,,,4808 NE 8th Ave,7,,
Multnomah,Portland,2019,,,,,,945 NW Naito Parkway,129,,
Multnomah,Troutdale,2019,,,,,,2295 SW Sturges Ln,160,,
,Oregon,2007,21101,,,,,,,,
,Oregon,2008,11676,,,,,,,,
,Oregon,2009,7039,,,,,,,,
,Oregon,2010,6868,,,,,,,,
,Oregon,2011,7663,,,,,,,,
,Oregon,2012,10608,,,,,,,,
,Oregon,2013,14843,,,,,,,,
,Oregon,2014,16645,,,,,,,,
,Oregon,2015,17510,,,,,,,,
,Oregon,2016,19586,,,,,,,,
,Oregon,2017,20053,,,,,,,,
,Oregon,2018,20132,,,,,,,,
,Oregon,2019,22037,,,,,,,,
,Oregon,2020,18665,,,,,,,,
,Oregon,2021,21916,,,,,,,,
,Oregon,2022,20321,,,,,,,,
,Oregon,2023,17697,,,,,,,,
,Bend,2007,911,8.2,"2,029",,,,,,
,Bend,2008,359,7.1,"1,736",,,,,,
,Bend,2009,161,6.6,742,,,,,,
,Bend,2010,210,6.1,569,,,,,,
,Bend,2011,292,5.4,802,,,,,,
,Bend,2012,508,4.9,808,,,,,,
,Bend,2013,907,4.8,506,,,,,,
,Bend,2014,847,4.7,568,,,,,,
,Bend,2015,1569,5,594,,,,,,
,Bend,2016,1471,5.3,602,,,,,,
,Bend,2017,1212,5.8,778,,,,,,
,Bend,2018,918,6.2,787,,,,,,
,Bend,2019,756,6.5,880,,,,,,
,Bend,2020,1076,6.5,913,,,,,,
,Bend,2021,1457,7.7,"1,116",,,,,,
,Bend,2022,1193,8.4,"1,359",,,,,,
,Bend,2023,1614,8,"1,647",,,,,,
,Eugene,2007,555,5.5,"2,332",,,,,,
,Eugene,2008,270,5.2,"2,137",,,,,,
,Eugene,2009,300,4.9,"2,232",,,,,,
,Eugene,2010,238,4.8,"2,580",,,,,,
,Eugene,2011,427,4.5,"2,140",,,,,,
,Eugene,2012,503,4.3,"2,057",,,,,,
,Eugene,2013,915,4.5,"1,751",,,,,,
,Eugene,2014,1032,4.6,"1,767",,,,,,
,Eugene,2015,316,4.7,"1,473",,,,,,
,Eugene,2016,747,4.9,"1,451",,,,,,
,Eugene,2017,379,5.2,"1,529",,,,,,
,Eugene,2018,834,5.4,"1,641",,,,,,
,Eugene,2019,640,5.5,"2,165",,,,,,
,Eugene,2020,722,5.9,"1,606",,,,,,
,Eugene,2021,1398,6.8,"2,317",,,,,,
,Eugene,2022,1085,7.2,"2,880",,,,,,
,Eugene,2023,593,6.9,"2,824",,,,,,
,Medford,2007,450,8.4,624,,,,,,
,Medford,2008,116,7.4,654,,,,,,
,Medford,2009,130,7,899,,,,,,
,Medford,2010,182,6.2,922,,,,,,
,Medford,2011,194,5.6,"1,049",,,,,,
,Medford,2012,274,5,691,,,,,,
,Medford,2013,349,4.8,548,,,,,,
,Medford,2014,407,5,625,,,,,,
,Medford,2015,329,5.3,729,,,,,,
,Medford,2016,440,5.5,527,,,,,,
,Medford,2017,398,5.8,633,,,,,,
,Medford,2018,450,6.1,732,,,,,,
,Medford,2019,335,6.1,712,,,,,,
,Medford,2020,285,6.1,727,,,,,,
,Medford,2021,437,6.6,773,,,,,,
,Medford,2022,310,6.7,"1,251",,,,,,
,Medford,2023,828,6.2,"1,143",,,,,,
,Portland,2007,4293,5.3,"3,918",,,,,,
,Portland,2008,2841,4.9,"3,918",,,,,,
,Portland,2009,793,4.4,"4,085",,,,,,
,Portland,2010,1100,4.4,"4,235",,,,,,
,Portland,2011,1364,4,"4,497",,,,,,
,Portland,2012,2298,4,"4,423",,,,,,
,Portland,2013,3755,4.5,"4,441",,,,,,
,Portland,2014,5016,4.7,"3,927",,,,,,
,Portland,2015,4411,4.8,"3,801",,,,,,
,Portland,2016,4929,5.1,"3,914",,,,,,
,Portland,2017,6789,5.3,"4,177",,,,,,
,Portland,2018,5648,5.2,"4,019",,,,,,
,Portland,2019,5094,5.3,"4,015",,,,,,
,Portland,2020,1779,5.5,"4,173",,,,,,
,Portland,2021,3028,6.3,"1,780",,,,,,
,Portland,2022,2197,6.6,"5,228",,,,,,
,Portland,2023,3089,6.2,"6,297",,,,,,
,Salem,2007,772,5,"1,997",,,,,,
,Salem,2008,347,4.6,"1,997",,,,,,
,Salem,2009,402,4,"2,366",,,,,,
,Salem,2010,232,3.8,"2,316",,,,,,
,Salem,2011,270,3.2,,,,,,,
,Salem,2012,379,3.2,,,,,,,
,Salem,2013,577,3.6,,,,,,,
,Salem,2014,291,3.7,,,,,,,
,Salem,2015,440,4,,,,,,,
,Salem,2016,792,4.3,,,,,,,
,Salem,2017,974,4.7,,,,,,,
,Salem,2018,861,4.9,,,,,,,
,Salem,2019,1034,4.9,,,,,,,
,Salem,2020,1254,5.4,624,,,,,,
,Salem,2021,846,6,549,,,,,,
,Salem,2022,1169,6.2,"1,805",,,,,,
,Salem,2023,686,5.9,"1,683",,,,,,
Multnomah,Portland,,,,,,,13654 SW 64TH AVE,1,1,ACTIVE
Multnomah,Portland,,,,,,,13673 SW 64TH AVE,1,1,ACTIVE
Multnomah,Portland,,,,,,,13674 SW 64TH AVE,1,1,ACTIVE
Multnomah,Portland,,,,,,,13693 SW 64TH AVE,1,1,ACTIVE
Multnomah,Portland,,,,,,,6309 SE ALBERTA ST,1,1,ACTIVE
Multnomah,Portland,,,,,,,6337 SE ALBERTA ST,1,1,ACTIVE
Multnomah,Portland,,,,,,,6367 SE ALBERTA ST,1,1,ACTIVE
Multnomah,Portland,,,,,,,6449 SE FERN AVE,1,1,ACTIVE
Multnomah,Portland,,,,,,,6492 SE FERN AVE,1,1,ACTIVE
Multnomah,Portland,,,,,,,6705 SE HAZEL AVE,1,1,ACTIVE
Multnomah,Portland,,,,,,,6708 SE HAZEL AVE,1,1,ACTIVE
Multnomah,Portland,,,,,,,10125 SE BOB SCHUMACHER RD,52,52,ACTIVE
Lane,Eugene,,,,,,,3145 CORALY AVE,2,2,ACTIVE
Lane,Eugene,,,,,,,1011 ABBIE LN,25,25,ACTIVE
Lane,Eugene,,,,,,,1774 ALDER ST,9,8,ACTIVE
Lane,Eugene,,,,,,,2640 EDGEWOOD DR,40,39,ACTIVE
Lane,Eugene,,,,,,,1533/1543 ARTHUR ST,2,2,ACTIVE
Lane,Eugene,,,,,,,100 E 11TH AVE,54,54,ACTIVE
Lane,Eugene,,,,,,,3077 MATT DR,48,47,ACTIVE
Lane,Eugene,,,,,,,3090 MATT DR,53,53,ACTIVE
Lane,Eugene,,,,,,,767 W 8TH AVE,10,10,ACTIVE
Lane,Eugene,,,,,,,2420 WILLAKENZIE RD,36,36,ACTIVE
Lane,Eugene,,,,,,,1121 COBURG RD,35,35,ACTIVE
Lane,Eugene,,,,,,,2315 MARTIN LUTHER KING JR BLVD,51,51,IN DEVELOPMENT
Lane,Eugene,,,,,,,2590 ERIN WAY,2,2,ACTIVE
Lane,Eugene,,,,,,,969 HIGHWAY 99 N,28,28,ACTIVE
Lane,Eugene,,,,,,,1728 FERRY ST,28,27,ACTIVE
Lane,Eugene,,,,,,,2111 W 12TH AVE,90,90,ACTIVE
Lane,Eugene,,,,,,,2712 WILLAKENZIE RD,65,62,ACTIVE
Lane,Eugene,,,,,,,120 N GARFIELD ST,9,9,ACTIVE
Lane,Eugene,,,,,,,2725 E LONE OAK LOOP,34,34,ACTIVE
Lane,Eugene,,,,,,,132 & 158 South Garden Way,123,123,IN DEVELOPMENT
Lane,Eugene,,,,,,,2988 OAK ST,35,35,ACTIVE
Lane,Eugene,,,,,,,3400 HAWTHORNE AVE,30,20,ACTIVE
Lane,Eugene,,,,,,,2222 COBURG RD,16,16,ACTIVE
Lane,Eugene,,,,,,,1600 TANEY,49,49,IN DEVELOPMENT
Lane,Eugene,,,,,,,302 HOPE LOOP,12,12,ACTIVE
Lane,Eugene,,,,,,,1505 RIVER ROAD,53,52,IN DEVELOPMENT
Lane,Eugene,,,,,,,1203 JACOBS DR,63,63,ACTIVE
Lane,Eugene,,,,,,,SE Corner of 13th & Tyler,15,15,IN DEVELOPMENT
Lane,Eugene,,,,,,,1755 KINGSLEY RD,68,68,ACTIVE
Lane,Eugene,,,,,,,1135 HAYES ST,35,34,ACTIVE
Lane,Eugene,,,,,,,3420 JACOBS LN,17,16,ACTIVE
Lane,Eugene,,,,,,,1775 W 12TH AVE,41,41,ACTIVE
Lane,Eugene,,,,,,,1880 CLEVELAND ST,16,16,ACTIVE
Lane,Eugene,,,,,,,377 W 8TH AVE,51,51,ACTIVE
Lane,Eugene,,,,,,,1055 BENNETT LN,24,24,ACTIVE
Lane,Eugene,,,,,,,433 W 8TH AVE,10,10,ACTIVE
Lane,Eugene,,,,,,,2802 MATT DR,38,38,ACTIVE
Lane,Eugene,,,,,,,NW CORNER OF 6TH AVE & OAK ST,50,50,IN DEVELOPMENT
Lane,Eugene,,,,,,,335 W 2ND AVE,40,40,ACTIVE
Lane,Eugene,,,,,,,1100 Charnelton St,45,45,IN DEVELOPMENT
Lane,Eugene,,,,,,,1424 OAK PATCH RD,54,54,ACTIVE
Lane,Eugene,,,,,,,1665 OAK PATCH RD,72,72,ACTIVE
Lane,Eugene,,,,,,,1133 OLIVE ST,150,150,ACTIVE
Lane,Eugene,,,,,,,255 HIGH ST,150,150,ACTIVE
Lane,Eugene,,,,,,,89 N Polk St,12,12,IN DEVELOPMENT
Lane,Eugene,,,,,,,584 N DANEBO AVE,64,64,ACTIVE
Lane,Eugene,,,,,,,4103 W 18TH AVE,232,232,ACTIVE
Lane,Eugene,,,,,,,1210 ACORN PARK ST,31,31,ACTIVE
Lane,Eugene,,,,,,,50 KOURT DR,20,20,ACTIVE
Lane,Eugene,,,,,,,2640 ROSS LN,36,36,ACTIVE
Lane,Eugene,,,,,,,120 SANTA CLARA AVE,60,60,ACTIVE
Lane,Eugene,,,,,,,4775 SCENIC DR,1,1,ACTIVE
Lane,Eugene,,,,,,,2475 SHELDON VILLAGE LOOP,43,42,ACTIVE
Lane,Eugene,,,,,,,2475 SHELDON VILLAGE LOOP,35,35,ACTIVE
Lane,Eugene,,,,,,,938 JEFFERSON ST,9,9,ACTIVE
Lane,Eugene,,,,,,,995 W 7TH AVE,16,16,ACTIVE
Lane,Eugene,,,,,,,3400 HAWTHORNE AVE,94,94,ACTIVE
Lane,Eugene,,,,,,,535 BETTY NIVEN DR,22,22,ACTIVE
Lane,Eugene,,,,,,,1541 CITY VIEW ST,54,53,ACTIVE
Lane,Eugene,,,,,,,925 HATTON AVE,27,27,ACTIVE
Lane,Eugene,,,,,,,689 W 13TH AVE,20,20,ACTIVE
Lane,Eugene,,,,,,,951 W 7TH AVE,13,13,ACTIVE
Lane,Eugene,,,,,,,1025 W 7TH AVE,12,12,ACTIVE
Lane,Eugene,,,,,,,1070 W 6TH AVE,10,10,ACTIVE
Lane,Eugene,,,,,,,3608 W 18TH AVE,67,67,ACTIVE
Lane,Eugene,,,,,,,1366 KELLER ST,32,31,ACTIVE
Lane,Eugene,,,,,,,265 W 8TH AVE,102,102,ACTIVE
Lane,Eugene,,,,,,,3057 WILLAKENZIE RD,56,56,ACTIVE
Lane,Eugene,,,,,,,3202 WILLAKENZIE RD,25,25,ACTIVE
Lane,Eugene,,,,,,,3545 KINSROW AVE,240,240,ACTIVE
Lane,Eugene,,,,,,,745 WOODLEAF LN,60,60,ACTIVE
Lane,Eugene,,,,,,,350 PEARL ST,110,110,IN DEVELOPMENT
Lane,Eugene,,,,,,,350 PEARL ST,112,112,ACTIVE
Marion,Salem,,,,,,,1361 MARILYN ST SE,1,1,ACTIVE
Marion,Salem,,,,,,,1570 MARSHALL DR SE,1,1,ACTIVE
Marion,Salem,,,,,,,4455 27th Ave,96,96,IN DEVELOPMENT
Marion,Salem,,,,,,,485 HOLMES CT SE,1,1,ACTIVE
Marion,Salem,,,,,,,4818 49TH AVE NE,1,1,ACTIVE
Marion,Salem,,,,,,,3202 BLUFF AVE SE,20,20,ACTIVE
Marion,Salem,,,,,,,1255 BROADWAY ST NE,55,54,ACTIVE
Marion,Salem,,,,,,,4169 CAMPUS LOOP NE,47,47,ACTIVE
Marion,Salem,,,,,,,1165 CHEMEKETA ST NE,36,35,ACTIVE
Marion,Salem,,,,,,,2933 CENTER ST,13,13,ACTIVE
Marion,Salem,,,,,,,4265 CLAXTER CT NE,102,102,IN DEVELOPMENT
Marion,Salem,,,,,,,2910 SADDLE CLUB ST SE,48,48,ACTIVE
Marion,Salem,,,,,,,2550 CORAL AVE NE,28,28,ACTIVE
Marion,Salem,,,,,,,3350 Portland RD NE,180,180,ACTIVE
Marion,Salem,,,,,,,4170 STATE ST,5,5,ACTIVE
Marion,Salem,,,,,,,3140 TESS AVE NE,50,50,ACTIVE
Marion,Salem,,,,,,,1068 PARK AVE NE,54,54,ACTIVE
Marion,Salem,,,,,,,905 Cottage St NE,18,18,IN DEVELOPMENT
Marion,Salem,,,,,,,1810 32ND PL NE,48,47,ACTIVE
Marion,Salem,,,,,,,3312 SUNNYVIEW RD NE,16,16,ACTIVE
Marion,Salem,,,,,,,1905 SIZEMORE DR NE,12,12,ACTIVE
Marion,Salem,,,,,,,1083 23RD ST SE,24,24,ACTIVE
Marion,Salem,,,,,,,Parcel 2 & Parcel 3,184,184,IN DEVELOPMENT
Marion,Salem,,,,,,,1355 4TH ST NE,6,6,ACTIVE
Marion,Salem,,,,,,,1244 HIGHLAND AVE,9,9,ACTIVE
Marion,Salem,,,,,,,1217 HIGHLAND AVE NE,16,12,ACTIVE
Marion,Salem,,,,,,,1237 HIGHLAND AVE NE,4,4,ACTIVE
Marion,Salem,,,,,,,1230 HIGHLAND AVE NE,9,9,ACTIVE
Marion,Salem,,,,,,,(UNKNOWN),16,16,ACTIVE
Marion,Salem,,,,,,,1551 CENTER ST NE,75,75,ACTIVE
Marion,Salem,,,,,,,4510 N NEWCASTLE CIR NE,104,104,ACTIVE
Marion,Salem,,,,,,,(UNKNOWN),10,10,ACTIVE
Marion,Salem,,,,,,,2585 LEE ST SE,8,8,ACTIVE
Marion,Salem,,,,,,,1250 MARILYN ST SE,4,4,ACTIVE
Marion,Salem,,,,,,,4921 SUNNYSIDE RD SE,32,32,ACTIVE
Marion,Salem,,,,,,,220 25TH ST NE,51,31,ACTIVE
Marion,Salem,,,,,,,(UNKNOWN),6,6,ACTIVE
Marion,Salem,,,,,,,TAX LOT 402 & 403 WALLACE RD,42,42,ACTIVE
Marion,Salem,,,,,,,3837 12TH ST SE,56,11,ACTIVE
Marion,Salem,,,,,,,4100 KACEY CIR NE,224,224,ACTIVE
Marion,Salem,,,,,,,3122 BROADWAY ST NE,30,30,ACTIVE
Marion,Salem,,,,,,,3103 7TH PL NE,78,78,ACTIVE
Marion,Salem,,,,,,,3524 FISHER RD NE,67,66,ACTIVE
Marion,Salem,,,,,,,4107 FISHER RD NE,35,35,ACTIVE
Marion,Salem,,,,,,,1725 EVERGREEN AVE NE,28,13,ACTIVE
Marion,Salem,,,,,,,2981 RIVER RD N,10,6,ACTIVE
Marion,Salem,,,,,,,721 Salem HEIGHTS AVE S,1,1,ACTIVE
Marion,Salem,,,,,,,4099 MARKET ST NE,65,64,ACTIVE
Marion,Salem,,,,,,,1160 MARKET ST NE,1,1,ACTIVE
Marion,Salem,,,,,,,3120 Broadway St NE,60,60,IN DEVELOPMENT
Marion,Salem,,,,,,,3143 7TH PL NE,46,46,ACTIVE
Marion,Salem,,,,,,,370 CHURCH ST SE,62,62,ACTIVE
Marion,Salem,,,,,,,3501 HAWTHORNE AVE NE,26,26,ACTIVE
Marion,Salem,,,,,,,2903 HAWTHORNE AVE NE,24,24,ACTIVE
Marion,Salem,,,,,,,2540 LEE ST SE,28,28,ACTIVE
Marion,Salem,,,,,,,375 FAIRVIEW AVE SE,60,60,ACTIVE
Marion,Salem,,,,,,,2455 STATE ST,11,11,ACTIVE
Marion,Salem,,,,,,,539 STATESMAN NE,11,11,ACTIVE
Marion,Salem,,,,,,,1000 CUNNINGHAM LN S,50,31,ACTIVE
Marion,Salem,,,,,,,2430 STATE ST,3,3,ACTIVE
Marion,Salem,,,,,,,3424 FAIRHAVEN AVE NE,87,86,ACTIVE
Marion,Salem,,,,,,,108 VILLAGE EAST WAY SE,112,112,ACTIVE
Marion,Salem,,,,,,,(UNKNOWN),12,12,ACTIVE
Marion,Salem,,,,,,,1134 WALLER ST SE,22,22,ACTIVE
Marion,Salem,,,,,,,2579 LEE ST SE,11,11,ACTIVE
Marion,Salem,,,,,,,2029 WINTER ST SE,12,6,ACTIVE
Marion,Salem,,,,,,,4685 SUNNYSIDE RD SE,11,3,ACTIVE
Marion,Salem,,,,,,,1901 FAIRGROUNDS RD NE,92,92,ACTIVE
Multnomah,Portland,,,,,,,10014 SE INSLEY ST,1,1,ACTIVE
Multnomah,Portland,,,,,,,10408 SE YUKON ST,1,1,ACTIVE
Multnomah,Portland,,,,,,,10416 SE REEDWAY ST,1,1,ACTIVE
Multnomah,Portland,,,,,,,10418 SE SCHILLER ST,1,1,ACTIVE
Multnomah,Portland,,,,,,,4916 NE 10TH AVE,11,6,ACTIVE
Multnomah,Portland,,,,,,,1110 N FAILING ST,3,3,ACTIVE
Multnomah,Portland,,,,,,,114 SE 22ND AVE,1,1,ACTIVE
Multnomah,Portland,,,,,,,3971 NE 11TH AVE,2,2,ACTIVE
Multnomah,Portland,,,,,,,1220 SW 12TH AVE,89,89,ACTIVE
Multnomah,Portland,,,,,,,1202 NE MASON ST,1,1,ACTIVE
